Codigo	Descripcion	Precio Costo	Precio Venta
7792798013937	CER1L QUILMES 1890	$2,252.18	$3,200.00
7792798013999	CER1L QUILMES BAJO CERO	$1,308.33	$1,800.00
7792798007387	CER1L QUILMES CRISTAL	$2,666.67	$3,400.00
7792798011544	CER1L QUILMES DOBLE MALTA	$1,308.00	$1,800.00
QUILMESIPA	CER1L QUILMES IPA	$2,850.19	$4,000.00
7792798007400	CER1L QUILMES STOUT	$2,850.19	$4,000.00
7793147001025	CER1L SCHNEIDER	$2,010.12	$2,900.00
7792798014378	CER1L STELLA ARTOIS RETORNABLE	$2,352.17	$3,000.00
7802100005441	CER250 HEINEKEN HOLANDESA PORRON	$1,416.67	$2,000.00
7802100005458	CER250 SIX PACK HIENEKEN HOLANDESA PORRON X6	$10,000.00	$12,000.00
7792798009725	CER269 ANDES ROJA X10	$1,700.00	$2,200.00
7840050002493	CER269 BRAHMITA	$666.67	$1,200.00
7898295301437	CER269 BURGUESA	$500.00	$800.00
7891991302647	CER269 MICHELOB	$1,250.00	$1,800.00
7898032910106	CER269 MILLER	$1,416.66	$2,000.00
7898032918737	CER269 MILLER PACK 12 U	$17,000.00	$24,000.00
7840050004992	CER269 PILSEN CLASICA	$666.67	$1,000.00
7891149103102	CER269 SKOL	$1,395.00	$2,000.00
7792798010608	CER269 STELLA ARTOIS	$450.00	$700.00
7792798011049	CER269 STELLA ARTOIS 6 X 269 CC	$3,050.00	$4,100.00
7792798010820	CER269 X10 STELLA NOIR	$2,509.00	$3,500.00
7840050003605	CER310 BUD 66	$1,583.33	$2,200.00
7802100003270	CER330 HEINEKEN 0.0 SIN ALCOHOL	$2,250.00	$2,900.00
78936683	CER330 HEINEKEN PORRON BR.	$1,916.66	$2,500.00
7793147574109	CER330 IMPERIAL GOLDEN PORRON	$1,063.25	$1,500.00
7891991299619	CER330 MICHELOB ULTRA	$1,166.67	$1,800.00
7793147570231	CER330 MILLER PORON	$1,000.00	$1,800.00
7793147570248	CER330 MILLER PORRON	$6,000.00	$9,000.00
8008440222008	CER330 PERONI	$2,500.00	$3,500.00
PPER	CER330 PERONI SIXPACK	$15,000.00	$19,500.00
78410848	CER340 BRAHMITA (INCLUYE ENVASE)	$1,000.00	$1,400.00
B7840050002783	CER340 PILSEN (NO INCLUYE ENVASE)	$1,166.00	$1,500.00
7898367983790	CER350 EISENBAHN PILSEN	$875.00	$1,300.00
7896045512317	CER350 KAISER	$916.17	$1,300.00
7898377660032	CER350 LOKAL	$758.33	$1,000.00
7896760400425	CER350 MALTA 350	$1,250.00	$1,600.00
7898367984018	CER350CC EISENBAHN X12	$10,500.00	$15,000.00
7792798005871	CER354 BRAHMA LATITA	$683.33	$1,000.00
7793147572808	CER355 HEINEKEN 0.0 ALCOHOL FREE	$1,122.93	$1,700.00
7840050007696	CER355 PILSEN CLASICA	$1,166.66	$1,500.00
7793147574031	CER355 SIX BLUE MOON PORRON	$11,300.00	$16,000.00
7792798012435	CER410 CORONA LATA	$1,625.00	$2,300.00
7792798006014	CER410 PATAGONIA WEISSE	$312.50	$450.00
7792798013951	CER473 1890	$1,169.09	$1,600.00
7798054013291	CER473 361 LAGER	$941.93	$1,300.00
7798054013482	CER473 ACONCAGUA	$1,080.00	$1,500.00
PACO	CER473 ACONCAGUA	$6,840.00	$8,700.00
7793147573546	CER473 AMSTEL LAGER	$1,312.50	$1,700.00
7792798012572	CER473 ANDES FRESQUITA	$1,000.00	$1,400.00
7792798012589	CER473 ANDES FRESQUITA X4	$3,600.00	$4,800.00
7792798002726	CER473 ANDES IPA	$1,541.67	$2,200.00
7792798014934	CER473 ANDES ORO	$1,612.42	$2,200.00
7792798992317	CER473 ANDES ROJA	$1,759.66	$2,400.00
7792798999866	CER473 ANDES RUBIA	$1,000.00	$1,400.00
7793147572907	CER473 BIECKERT BAPA	$1,836.45	$2,600.00
7792798005888	CER473 BRAHMA	$1,458.33	$1,900.00
7792798011421	CER473 BRAHMA DORADA	$1,006.19	$1,500.00
7792798014491	CER473 BUDWEISER	$1,000.00	$1,400.00
7793147118822	CER473 BUDWEISER	$1,041.67	$1,500.00
7898295301505	CER473 BURGUESA	$1,208.33	$1,700.00
7898295301512	CER473 BURGUESA PACK 12 U	$14,500.00	$19,000.00
7898032918485	CER473 COLONIA MALTZBIER	$1,333.33	$1,800.00
7898953990027	CER473 ESTRELLA GALICICA	$1,250.00	$1,800.00
7792798013791	CER473 GOOSE ISLAND LAGER	$1,000.00	$1,400.00
7793147572846	CER473 GROLSCH IPA	$617.83	$900.00
7793147572839	CER473 GROLSCH RED	$604.17	$1,000.00
7793147570866	CER473 GROLSH PILSEN	$1,312.50	$1,800.00
7798339251509	CER473 GUINESS EXTRA STOUT	$1,838.79	$2,600.00
7798339251523	CER473 GUINNESS HOP LAGER 13	$2,100.00	$2,900.00
7896045506248	CER473 HEINEKEN	$2,166.66	$2,800.00
7793147009199	CER473 HEINEKEN ARGENTINA	$2,166.66	$2,800.00
PHEIBR	CER473 HEINEKEN X6 BR	$11,000.00	$14,000.00
7793147571160	CER473 IMPERIAL APA	$1,784.35	$2,700.00
7793147571689	CER473 IMPERIAL GOLDEN	$1,400.00	$1,900.00
7793147574130	CER473 IMPERIAL GOLDEN 0 ALCOHOL	$1,394.20	$2,000.00
7793147570743	CER473 IMPERIAL IPA	$1,773.07	$2,700.00
7793147001742	CER473 IMPERIAL STOUT	$1,795.03	$2,500.00
7793147573515	CER473 ISENBECK	$1,062.50	$1,500.00
7896045503414	CER473 KAISER LAGER	$1,650.94	$2,300.00
7798287170365	CER473 LIT LAGER 100% MALTA	$1,000.00	$1,500.00
7896760400623	CER473 MALTA SIN ALCOHOL 473 ML	$1,483.39	$2,100.00
7792798014019	CER473 MICHELOB	$800.00	$1,200.00
7898942054037	CER473 MOEMA	$1,073.37	$1,500.00
17898942054034	CER473 MOEMA PACK 12 U	$12,880.50	$17,000.00
790757845794	CER473 ORTUZAR LAGER	$859.14	$1,400.00
7798339251561	CER473 PAMPA CREAM STOUT	$1,415.00	$2,000.00
7798339251141	CER473 PAMPA DORADA	$1,400.00	$2,000.00
7798339251134	CER473 PAMPA GOLDEN ALE	$1,400.00	$2,000.00
7798339251370	CER473 PAMPA HONEY	$1,500.00	$2,000.00
7798339251127	CER473 PAMPA IPA	$1,440.00	$2,000.00
7792798001965	CER473 PATAGONIA AMBER LAGER	$2,833.44	$4,000.00
7792798015009	CER473 PATAGONIA LAGER DEL SUR	$2,833.44	$4,000.00
7792798015023	CER473 PATAGONIA LAGER DEL SUR	$2,833.01	$3,900.00
7792798003938	CER473 PATAGONIA VERA IPA	$2,255.18	$3,200.00
7795109103303	CER473 PISCOTELA AMBER	$1,412.50	$2,000.00
7795109103327	CER473 PISCOTELA IPA	$1,412.50	$2,000.00
7795109103310	CER473 PISCOTELA LAGER	$1,412.50	$2,000.00
7795109103556	CER473 PISCOTELA TRIPACK	$5,800.00	$8,200.00
7792798009107	CER473 QUILMES 0.0	$1,199.74	$1,900.00
7792798013913	CER473 QUILMES CLAISCA	$1,437.50	$1,900.00
7792798012923	CER473 QUILMES CLASICA	$1,473.50	$1,900.00
7792798011520	CER473 QUILMES DOBLE MALTA	$583.33	$900.00
7798339250229	CER473 RABIETA APA	$1,800.00	$2,400.00
7798339250144	CER473 RABIETA GOLDEN	$1,414.45	$2,000.00
7798339250199	CER473 RABIETA HEAVY	$1,800.00	$2,400.00
7798339250137	CER473 RABIETA IPA	$1,800.00	$2,400.00
7798339250151	CER473 RABIETA IRISH RED ALE	$1,400.00	$1,900.00
7798339250182	CER473 RABIETA RED HONEY	$1,414.45	$2,000.00
7798339250236	CER473 RABIETA RED IPA	$1,800.00	$2,400.00
7798339250168	CER473 RABIETA WITBIER	$1,800.00	$2,400.00
7793147574185	CER473 SALTA CAUTIVA FRESH	$1,850.42	$2,600.00
7793147573683	CER473 SALTA CAUTIVA IPA	$1,732.38	$2,600.00
